mso:astronomy.meteor_shower_occurrence	mso:astronomy.meteor_shower_occurrence.zenith_hourly_rate	mso:type.decimal
mso:architecture.venue	mso:architecture.venue.purpose	mso:architecture.structure_purpose
mso:sports.athlete_statistics	mso:sports.athlete_statistics.draws	mso:type.decimal
mso:baseball.historical_coaching_tenure	mso:baseball.historical_coaching_tenure.coaching_position	mso:baseball.coaching_position
mso:computer.computer	mso:computer.computer.storage	mso:type.decimal
mso:local.restaurant	mso:local.restaurant.order_food	mso:event.order_action
mso:architecture.building	mso:architecture.building.occupancy	mso:architecture.occupancy
mso:aviation.cargo_by_year	mso:aviation.cargo_by_year.date	mso:type.datetime
mso:baseball.batting_statistics	mso:baseball.batting_statistics.season	mso:sports.season
experimental:fb_schema_staging.music_artist_extra	experimental:fb_schema_staging.music_artist_extra.genres	experimental:fb_schema_staging.music_genre_concept
mso:radio.radio_episode_segment	mso:radio.radio_episode_segment.episode	mso:radio.radio_program_episode
mso:fictional_universe.substance	mso:fictional_universe.substance.fictional_object	mso:fictional_universe.object
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.enthalpy_change_of_formation_solid	mso:type.decimal
mso:event.view_action	mso:event.view_action.review	mso:ratings.review
mso:measurement_unit.luminance_unit	mso:measurement_unit.luminance_unit.measurement_system	mso:measurement_unit.measurement_system
experimental:fb_schema_staging.median_lethal_dose	experimental:fb_schema_staging.median_lethal_dose.organism	mso:biology.organism_classification
mso:fictional_universe.kinship_relationship	mso:fictional_universe.kinship_relationship.object	mso:fictional_universe.character
mso:statistics.economic_group	mso:statistics.economic_group.depth_of_credit_information_index	mso:measurement_unit.dated_float
experimental:fb_schema_staging.book_refactor_book	experimental:fb_schema_staging.book_refactor_book.contains_written_work	experimental:fb_schema_staging.book_refactor_written_work
mso:local.accommodation	dev:local.accommodation.price_range	dev:local.accommodation_price_range_enum
mso:sports.exercise_weekly_schedule	mso:sports.exercise_weekly_schedule.week	mso:type.decimal
mso:architecture.type_of_museum	mso:architecture.type_of_museum.museums	mso:architecture.museum
mso:cricket.captain_tenure	mso:cricket.captain_tenure.team_stats	mso:cricket.team_stats
mso:american_football.player_rushing_statistics	mso:american_football.player_rushing_statistics.player	mso:american_football.player
mso:automotive.trim_level	mso:automotive.trim_level.rear_legroom_in_mm	mso:type.decimal
mso:language.human_language	mso:language.human_language.writing_system	mso:language.writing_system
mso:architecture.structure	mso:architecture.structure.developer	mso:business.operation
mso:biology.gene_ontology_group	mso:biology.gene_ontology_group.part_group	mso:biology.gene_ontology_group
mso:award.hall_of_fame_induction	mso:award.hall_of_fame_induction.note	mso:type.text
mso:commerce.humidifier	productsearch:commerce.humidifier.capacity	mso:type.string
mso:basketball.team	mso:basketball.team.conference	mso:basketball.conference
mso:automotive.automotive_class	mso:automotive.automotive_class.performance_rating	mso:ratings.rated_entity
mso:american_football.player	mso:american_football.player.assisted_tackles	mso:type.decimal
experimental:fb_schema_staging.food_concept	experimental:fb_schema_staging.food_concept.listed_serving_size	experimental:fb_schema_staging.listed_serving_size
mso:internet.social_network_user	mso:internet.social_network_user.address_line	mso:type.text
mso:education.grade_level	mso:education.grade_level.typical_age_maximum	mso:type.decimal
mso:adult.adult_website	mso:adult.adult_website.featured_videos	mso:media_common.video_offer
mso:american_football.player	mso:american_football.player.passing_completions_percentage	mso:type.decimal
mso:internet.website	mso:internet.website.sub_web_properties	mso:internet.website
mso:automotive.engine	mso:automotive.engine.forced_induction	mso:type.boolean
mso:law.arrest_warrant	mso:law.arrest_warrant.crime_event	mso:law.crime
mso:book.literary_series	mso:book.literary_series.number_of_volumes	mso:type.decimal
mso:measurement_unit.dated_money_value	mso:measurement_unit.dated_money_value.valid_time_interval	mso:measurement_unit.time_interval
mso:film.release	mso:film.release.release_language	mso:language.human_language
mso:american_football.division	mso:american_football.division.conference	mso:american_football.conference
mso:application.category	mso:application.category.id	mso:type.string
mso:astronomy.star_system	mso:astronomy.star_system.planet	mso:astronomy.planet
mso:education.athletics_brand	mso:education.athletics_brand.color	mso:visual_art.color
mso:education.educational_institution_organization	mso:education.educational_institution_organization.alumni	mso:people.person
mso:visual_art.artwork_owner_relationship	mso:visual_art.artwork_owner_relationship.artwork	mso:visual_art.artwork
mso:tv.guest_personal_appearance	mso:tv.guest_personal_appearance.segment	mso:tv.episode_segment
mso:architecture.structure	mso:architecture.structure.owner	mso:architecture.ownership
mso:spaceflight.space_mission	mso:spaceflight.space_mission.destination	mso:astronomy.celestial_object
local:local.encumbrance	local:local.encumbrance.contract	mso:type.string
mso:education.academic_post	mso:education.academic_post.academic	mso:education.academic
mso:film.distribution	mso:film.distribution.distributor	mso:film.distributor
mso:automotive.automotive_class	mso:automotive.automotive_class.engine	mso:automotive.engine
mso:automotive.engine	mso:automotive.engine.engine_type	mso:automotive.engine_type
mso:music.artist	mso:music.artist.influences	mso:music.artist
mso:amusement_parks.roller_coaster	mso:amusement_parks.roller_coaster.material	mso:amusement_parks.roller_coaster_material
mso:commerce.two_way_radio	mso:commerce.two_way_radio.radio_channels	mso:type.string
experimental:fb_schema_staging.book_refactor_book	experimental:fb_schema_staging.book_refactor_book.interior_illustrations_by	experimental:fb_schema_staging.book_refactor_illustrator
experimental:fb_schema_staging.theater_production_venue_relationship	experimental:fb_schema_staging.theater_production_venue_relationship.theater_production	experimental:fb_schema_staging.theater_production_extra
mso:cricket.series	mso:cricket.series.team_one	mso:cricket.team
experimental:fb_schema_staging.book_edition_extra	experimental:fb_schema_staging.book_edition_extra.pub_date	mso:type.datetime
mso:automotive.automotive_class	mso:automotive.automotive_class.rear_track	mso:type.decimal
experimental:fb_schema_staging.application_version	experimental:fb_schema_staging.application_version.number	mso:type.string
mso:law.court_courthouse_relationship	mso:law.court_courthouse_relationship.from_date	mso:type.datetime
experimental:fb_schema_staging.government_position_held_extra	experimental:fb_schema_staging.government_position_held_extra.politician_email	mso:type.string
mso:film.genre_ranking	mso:film.genre_ranking.genre	mso:film.genre
mso:commerce.consumer_product	mso:commerce.consumer_product.ergonomic	mso:type.boolean
mso:common.image	mso:common.image.size	mso:measurement_unit.rect_size
mso:book.edition	mso:book.edition.book_preview_URL	mso:type.uri
mso:organization.committee	mso:organization.committee.member	mso:organization.committee_membership
mso:fictional_universe.organization	mso:fictional_universe.organization.members	mso:fictional_universe.character
mso:basketball.player_career_stats	mso:basketball.player_career_stats.field_goals_attempted	mso:type.decimal
mso:american_football.game_score	mso:american_football.game_score.game	mso:american_football.game
mso:application.software	mso:application.software.max_age	mso:type.decimal
mso:location.sovereign	mso:location.sovereign.official_language	mso:language.human_language
mso:interests.collection_category	mso:interests.collection_category.items_in_this_category	mso:interests.collectable_item
mso:soccer.player_transfer	mso:soccer.player_transfer.fee	mso:type.decimal
mso:boats.ship_class	mso:boats.ship_class.ship_designer	mso:boats.ship_designer
mso:aviation.aircraft_model	mso:aviation.aircraft_model.unit_cost	mso:measurement_unit.monetary_range
mso:local.entity	dev:local.entity.public_transit_free_text	mso:type.text
experimental:fb_schema_staging.election_results	experimental:fb_schema_staging.election_results.votes_received	experimental:fb_schema_staging.election_votes_received
mso:location.prison	mso:location.prison.prison_type	mso:location.prison_type
mso:boats.ship_ownership	mso:boats.ship_ownership.ship	mso:boats.ship
mso:cricket.player	mso:cricket.player.test_stats	mso:cricket.player_stats
mso:conferences.conference	academic:conferences.conference.static_rank	mso:type.decimal
experimental:fb_schema_staging.election_results	experimental:fb_schema_staging.election_results.no_preferences	mso:type.decimal
mso:statistics.health_group	mso:statistics.health_group.crude_death_rate	mso:measurement_unit.dated_ratio
mso:award.judging_term	mso:award.judging_term.note	mso:type.text
experimental:fb_schema_staging.book_refactor_book	experimental:fb_schema_staging.book_refactor_book.publishing_company	mso:book.publishing_company
mso:sports.yoga_asana	mso:sports.yoga_asana.preceding_asana	mso:sports.yoga_asana
mso:commerce.product_issue	mso:commerce.product_issue.cause	mso:type.text
mso:american_football.player	mso:american_football.player.interception_yards	mso:type.decimal
mso:astronomy.orbital_relationship	mso:astronomy.orbital_relationship.orbit_eccentricity	mso:type.decimal
mso:automotive.motorcycle_model	mso:automotive.motorcycle_model.dry_weight	mso:type.decimal
mso:comic_strips.comic_strip	mso:comic_strips.comic_strip.characters	mso:comic_strips.character
mso:event.speech_or_presentation	mso:event.speech_or_presentation.public_speaker	mso:people.person
mso:spaceflight.space_mission	mso:spaceflight.space_mission.mission_start_date	mso:type.datetime
experimental:fb_schema_staging.sumo_wrestler_rank_relationship	experimental:fb_schema_staging.sumo_wrestler_rank_relationship.from	mso:type.datetime
mso:event.watch_video_action	mso:event.watch_video_action.language	mso:language.human_language
mso:automotive.warranty	mso:automotive.warranty.mileage_limit	mso:type.decimal
local:local.photo	local:local.photo.comment	mso:type.text
mso:biology.organism_classification	mso:biology.organism_classification.characteristics	mso:biology.organism_characteristic
mso:book.filmography	mso:book.filmography.film	mso:film.film
mso:american_football.player_rushing_statistics	mso:american_football.player_rushing_statistics.season	mso:sports.season
mso:application.software_version	mso:application.software_version.launch_requirements	mso:type.string
mso:music.track	mso:music.track.engineer	mso:music.engineer
mso:boats.ship_class	mso:boats.ship_class.length_overall_m	mso:type.decimal
mso:commerce.digital_camera_iso	mso:commerce.digital_camera_iso.cameras	mso:commerce.digital_camera
mso:commerce.stationary_bicycle	productsearch:commerce.stationary_bicycle.control_panel	mso:type.string
mso:book.forum_posting	mso:book.forum_posting.recommended_count	mso:type.decimal
mso:basketball.historical_roster_position	mso:basketball.historical_roster_position.player	mso:basketball.player
experimental:fb_schema_staging.app_variant	experimental:fb_schema_staging.app_variant.market	experimental:fb_schema_staging.app_market
mso:baseball.roster_position	mso:baseball.roster_position.number	mso:type.decimal
mso:boats.ship_ownership	mso:boats.ship_ownership.from_date	mso:type.datetime
mso:aviation.airport	mso:aviation.airport.operator	mso:aviation.airport_operator
mso:boats.engine	mso:boats.engine.engine_fuel	mso:automotive.fuel
mso:broadcast.radio_station	mso:broadcast.radio_station.stream_broadcast	mso:event.play_audio_action
experimental:fb_schema_staging.aircraft_model_family	experimental:fb_schema_staging.aircraft_model_family.manufacturer	experimental:fb_schema_staging.aircraft_manufacturer_extra
experimental:fb_schema_staging.context_name	experimental:fb_schema_staging.context_name.disputed_name_preferred_form	mso:type.text
mso:law.attorney	mso:law.attorney.license	mso:law.attorney_license
experimental:fb_schema_staging.app_franchise	experimental:fb_schema_staging.app_franchise.apps	experimental:fb_schema_staging.app
experimental:fb_schema_staging.election_ticket_membership	experimental:fb_schema_staging.election_ticket_membership.person	experimental:fb_schema_staging.politician_extra
